,title,year,rating,content,link
91,92. Farmhouse Fixer,2021–,"8.3
 (337)",Jonathan Knight and designer Kristina restore old homes by keeping the structure's history alive and breathing new life into it.,https://www.imdb.com/title/tt9426360/?ref_=sr_t_92
92,93. Jeopardy!,1984–,"8.3
 (8.2K)",A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories.,https://www.imdb.com/title/tt0159881/?ref_=sr_t_93
93,94. Jackass,2000–2007,"7.3
 (28K)",The cast performs various crazy stunts for our amusement.,https://www.imdb.com/title/tt0264263/?ref_=sr_t_94
94,"95. Gordon, Gino & Fred's Road Trip",2018–,"8.4
 (2.2K)","Join British superstar Gordon Ramsay, Italian stallion Gino D'Acampo and French master maitre d' Fred Sirieix as they take a road trip.",https://www.imdb.com/title/tt9170584/?ref_=sr_t_95
95,96. 7 Little Johnstons,2013–,"6.8
 (464)","The Johnstons are an average of seven American families pursuing the American dream. Papa Trent and Mama Amber have five children under the age of 16, all with achondroplasia dwarfism.",https://www.imdb.com/title/tt3746948/?ref_=sr_t_96
96,97. Guy's Grocery Games,2013–,"6.7
 (1.8K)","Chefs compete for the chance of $20,000 as they are cooking inside a grocery store.",https://www.imdb.com/title/tt3165150/?ref_=sr_t_97
97,98. The Incredible Dr. Pol,2011–,"8.6
 (2.1K)","With more than 20,000 patients, Dr. Pol has seen it all. Specializing in large farm animals, this senior is anything but retiring as he takes an old school, no-nonsense approach to veterinary medicine.",https://www.imdb.com/title/tt2136396/?ref_=sr_t_98
98,99. Forged in Fire,2015–,"8.2
 (4.4K)",Four custom knife makers compete to make the best usable knife through a series of challenges.,https://www.imdb.com/title/tt4680444/?ref_=sr_t_99
99,100. OutDaughtered,2016–,"7.0
 (593)",The true-life struggles and joys of raising quintuplet girls.,https://www.imdb.com/title/tt6215600/?ref_=sr_t_100
100,101. Temptation Island,2019–,"6.1
 (1.3K)",Couples travel to a tropical paradise where they are forced to decide if they're ready to commit to each other for the rest of their lives. A reboot of the 2001 reality series.,https://www.imdb.com/title/tt9174576/?ref_=sr_t_101
101,102. I Kissed a Girl,2024–,"7.8
 (37)","Dannii Minogue hosts an all-female counterpart to dating show I Kissed a Boy, welcoming 10 single women to a Masseria in Italy in search of love - starting with a kiss.",https://www.imdb.com/title/tt32282585/?ref_=sr_t_102
102,103. FGirl Island,2024–,"6.7
 (33)","It follows a group of men as they navigate the dating pool together with the hope of finding a lasting love connection. By the finale, the FGirl is revealed.",https://www.imdb.com/title/tt27160073/?ref_=sr_t_103
103,104. Australian Survivor,2016–,"8.6
 (1.4K)","A reality show where a group of twenty-four Australians are stranded in a remote location with little more than the clothes on their back. The winner takes home $500,000 and the title of Sole Survivor.",https://www.imdb.com/title/tt6103712/?ref_=sr_t_104
104,105. The Magic Prank Show with Justin Willman,2024–,"6.5
 (650)",Follows Willman as he uses his skills to pull off hilarious pranks like never seen before.,https://www.imdb.com/title/tt31608961/?ref_=sr_t_105
105,106. Mystery at Blind Frog Ranch,2021–,"6.1
 (861)","There are some places on earth where the land just seems different, and Blind Frog Ranch in eastern Utah is one of those places. Locals say the land is cursed. That it's trying to hold on to something.",https://www.imdb.com/title/tt13634306/?ref_=sr_t_106
106,107. My Lottery Dream Home,2015–,"6.6
 (699)","Recent lottery winners look for their perfect dream house in this ""House Hunters""-inspired reality show.",https://www.imdb.com/title/tt4508624/?ref_=sr_t_107
107,108. Expedition X,2020–,"6.6
 (1.2K)","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the unknown.",https://www.imdb.com/title/tt11774420/?ref_=sr_t_108
108,109. Queer Eye,2018–,"8.5
 (21K)","A new Fab Five set out to Atlanta to help some of the city's people refine their wardrobes, grooming, diet, cultural pursuits, and home décor.",https://www.imdb.com/title/tt7259746/?ref_=sr_t_109
109,110. An Idiot Abroad,2010–2012,"8.3
 (34K)",British comedy duo Ricky Gervais and Stephen Merchant send their simple and closed-minded friend Karl Pilkington on a trip around the world to experience a variety of people and cultures.,https://www.imdb.com/title/tt1702042/?ref_=sr_t_110
110,111. Casting Call: Playboy Mansion,2008,"7.7
 (368)",,https://www.imdb.com/title/tt3516192/?ref_=sr_t_111
111,112. Canada's Ultimate Challenge,2023–,"7.2
 (39)","Six extraordinary coaches will guide and mentor teams of everyday Canadians at site-specific physical challenges in a unique competition structure. Each episode will take place at an iconic Canadian location where the teams will compete in spectacular Solo, Tandem or Team challenges that test them physically and mentally. In the end, only one team will win CANADA'S ULTIMATE CHALLENGE.",https://www.imdb.com/title/tt21057942/?ref_=sr_t_112
112,113. The Real Housewives of Salt Lake City,2020–,"6.5
 (1.3K)","A peek inside the unconventional lives of six successful women navigating an exclusive social circle in a city where religion, status and perfection are praised to the highest degree.",https://www.imdb.com/title/tt11363282/?ref_=sr_t_113
113,114. American Pickers,2010–,"7.0
 (8.5K)",Mike and Frank are pickers that travel the country and literally would go anywhere just for the prospects of finding antique gold. With the assistance of Danielle they often find themselves in a comedic pickle.,https://www.imdb.com/title/tt1596786/?ref_=sr_t_114
114,115. Lego Masters Australia,2019–,"8.6
 (911)","Each week, contestants are set tasks to build items out of LEGO in line with a designated theme and are judged on their results. Contestants are then eliminated from the competition on a knock out basis culminating in a winner.",https://www.imdb.com/title/tt10285320/?ref_=sr_t_115
115,116. Duck Dynasty,2012–2017,"6.2
 (11K)",Follows a wealthy Louisiana family known for their successful duck-hunting business.,https://www.imdb.com/title/tt2229907/?ref_=sr_t_116
116,117. America's Funniest Home Videos,1989–,"6.1
 (5.9K)",Viewers from around America send in home videos with comedic moments.,https://www.imdb.com/title/tt0098740/?ref_=sr_t_117
117,118. Spring Baking Championship,2015–,"7.1
 (400)","It's time for the country's top bakers to take on springtime treats, as eight bakers enter the kitchen to show off their superb baking skills!",https://www.imdb.com/title/tt4658614/?ref_=sr_t_118
118,119. The Devil's Plan,2023–,"8.2
 (3.6K)","In this competition of intelligence, contestants face off in games of wit and strategy to be crowned winner and go home with the ultimate prize.",https://www.imdb.com/title/tt27995115/?ref_=sr_t_119
119,120. Take My Tumor,2024,"6.5
 (220)",Three doctors take on some of the most challenging cases of their careers as they remove tumors from patients with extreme cases.,https://www.imdb.com/title/tt31720743/?ref_=sr_t_120
120,121. Anthony Bourdain: No Reservations,2005–2012,"8.5
 (7.9K)","Anthony Bourdain, chef, writer, traveler, visits places all around the world sampling various foods.",https://www.imdb.com/title/tt0475900/?ref_=sr_t_121
121,122. Baddies East,2023–,"6.8
 (231)","Executive Producer Natalie Nunn, Chrisean Rock, Rollie and more of the OG Baddies are back to show up and show out with newbies like Sukihana and Sky - to take over the East Coast.",https://www.imdb.com/title/tt29218693/?ref_=sr_t_122
122,123. Blown Away,2019–,"7.2
 (4K)",A reality show featuring glass blowers from around the world competing to be the best. One artist is dismissed after each episode/challenge.,https://www.imdb.com/title/tt9908860/?ref_=sr_t_123
123,124. Big Brother Canada,2013–,"6.8
 (1.2K)","The format for Big Brother in Canada remains largely unchanged from US edition, making them only two version of series thus far to follow this format.",https://www.imdb.com/title/tt2776888/?ref_=sr_t_124
124,125. Love After Lockup,2018–,"6.8
 (722)","After being released from prison, the couple finally meet their fiancé. Will their love survive after prison when the bars are gone? Is it true love or just a sham?",https://www.imdb.com/title/tt7721986/?ref_=sr_t_125
125,126. Special Forces: World's Toughest Test,2023–,"7.1
 (1.1K)","16 celebrity contestants battle through a set of emulated special forces training challenges, they are removed from society and the staff sergeants control everything within the camp.",https://www.imdb.com/title/tt22003362/?ref_=sr_t_126
